Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
"Brilliant place to stay,great proximity to airport,beaches and restaurants",everything,nothing,9.0,United Kingdom,Double Room with Balcony,2,2022-09-01,Couple,,74,0,10,7,9.0,No,5,1,1
Exceptional,"Clean hotel, lovely rooms with comfortable beds. Great location for overnight stay for late flights. Very helpful staff",,10.0,United Kingdom,Double Room with Balcony,1,2022-09-01,Family,,11,0,119,0,10.0,No,2,5,1
Great place near the airport,"I went there while on transit in Larnaca, the building is completely refurbished, it is confortable and the self check in was very easy.",,10.0,Lebanon,Double Room,1,2022-09-01,Solo,,28,0,136,0,10.0,No,3,5,1
Very good basic hotel if you just need a comfortable room for a night,spotlessly clean. Excellent for airport and Mackenzie beach,Nothing,8.0,Cyprus,Double Room,1,2022-09-01,Couple,,69,0,59,7,8.0,No,5,5,1
Excellent,recently refurbished,"very nice restaurant, good food and service",9.0,United Kingdom,Double Room,1,2022-08-01,Couple,,9,0,20,43,9.0,No,1,2,5
Excellent 👍,"Everything was very good. Staff very polite and helpful. Rooms are clean. Breakfast was delicious. Hotel is near to the beach, airport and bus station.",,10.0,Serbia,Double Room,2,2022-08-01,Family,,11,0,151,0,10.0,No,2,5,1
Wonderful,"I really enjoyed this place. It didn't have a pool but it was 10 minutes from the airport by taxi, 15 by shuttle bus. There are also connecting buses from ayia napa to this hotel via Larnaca which we used for our early morning start from Larnaca Airport. McKenzie beach is close by, and the food restaurants off the opposite beach were only a ten minute walk.
Air con and fridge in rooms with a bottle of water provided. 
Perfect for our short stay and the hotel was immaculately clean. I was particularly impressed when the staff emailed me via booking.com and after asking me what time I was arriving (the hotel is not manned 24/7 but arrangements are made to collect your room key in the hotel if you are arriving outside of normal hours), told me which bus routes I needed to take.
Very impressed however anything longer than a 2 night stay and you may get a little bored.
Highly recommended",I have no complaints. 👍,9.0,United Kingdom,Two-Bedroom Suite,1,2022-09-01,Family,,9,0,895,23,9.0,No,1,5,3
Exceptional,"Stuff in the hotel were very helpful and nice, my stay in la veranda was perfect, mackenzie beach is few minutes, airport near, best location in larnaca.",,10.0,Serbia,Double Room,3,2022-09-01,Solo,,11,0,153,0,10.0,No,2,5,1
Perfect location,"clean, air conditioned, close to the airport",,10.0,Austria,Standard Triple Room,1,2022-08-01,Family,,16,0,44,0,10.0,Yes,2,5,1
The perfect hotel next to the airport,"The location next to the airport is great for flights very early in the morning, because it only takes you 5 minutes to get to the airport. 
The beach is a 10 minutes walk away",,8.0,Austria,Double Room,1,2022-08-01,Couple,,37,0,176,0,8.0,No,4,5,1
"Perfect choice, good job guys!","location near the airport and beach 10/10.
front desk are absolutely perfect 10/10
hotel restaurant delicious! 10/10
the room perfect! 
nothing to say,",,10.0,Israel,Double Room with Balcony,1,2022-08-01,Couple,,30,0,151,0,10.0,No,3,5,1
A warm welcome and a great place to stay!,"The room was clean and comfortable with everything I needed including a fridge and kettle. The shower was great, the air con worked well. It's in a great location for the airport and the beach. But what made La Veranda stand out was the fantastic service, they couldn't have been friendlier, kinder or more helpful and it made a massive difference for me as they were able to accommodate my specific needs, for which I was extremely grateful!",I liked everything!,10.0,United Kingdom,Double Room,2,2022-07-01,Solo,,41,0,442,19,10.0,No,5,5,2
Wonderful,Helpful staff and close to airport,The room was small but adequate,9.0,United States of America,Budget Twin Room,1,2022-08-01,Group,,9,0,34,31,9.0,Yes,1,4,4
"Super clean, new rooms, lacks some amenities","- Super clean
- Decent sized rooms
- New rooms (flat tv, touch buttons for cleaning etc, generally nothing was old)",- No hair shampoo and in general only the basic amenities,8.0,Cyprus,Double Room with Balcony,1,2022-08-01,Couple,,44,0,115,57,8.0,Yes,5,5,5
Absolutely perfect - thank you,Very clean and super friendly staff. Would recommend,Nothing,10.0,United Kingdom,Double Room with Balcony,1,2022-08-01,Couple,,30,0,52,7,10.0,Yes,3,5,1
Wonderful,Nice and simple hotel. Very convenient location close to the airport. The front desk was very friendly and helpful.,The area was a little noisy when we stayed there.,9.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,9,0,115,49,9.0,No,1,5,5
Exceptional,Very friendly staff,,10.0,Lebanon,Double Room with Balcony,1,2022-08-01,Couple,,11,0,19,0,10.0,No,2,2,1
3* gem of larnaca region,"The best 3 stars hotel I have been ever! Clean as hospital, super comfy, close to one of the best beaches of Larnaca region, perfectly connect by public transport with Larnaca city centre, all that with quite reasonable price.","Taxi drivers who cooperate with hotel, both times, from airport and back, charged 2-3 EUR above the price agreed with the hotel (20 EUR). To clarify, it is not about the money, I would certainly give that money as a tip, but feeling that someone is cheating you and stilling money from you is really awkward and ugly, especially when you are alone with small child in the middle of the night and have no alternative way of transport.",10.0,Serbia,Double Room with Balcony,9,2022-08-01,Family,,24,0,226,433,10.0,No,3,5,5
I never stayed in a room that smelled so nice.,"The food was very tasty (I didn't have breakfast but ate dinner at the restaurant), staff very helpful and friendly, very nice bathroom, and the room was well equipped and also smelled very nice.",It was a bit loud outside but that was just normal for summertime I guess.,9.0,Belgium,Double Room with Balcony,1,2022-08-01,Solo,,46,0,195,74,9.0,No,5,5,5
Staff very friendly and helpful had a wonderful night stay,very clean and modern,,10.0,United Kingdom,Double Room with Balcony,1,2022-08-01,Group,,58,0,21,0,10.0,No,5,3,1
Amazing,"very clean and comfortable, close to the airport",,10.0,Lebanon,Double Room,1,2022-08-01,Solo,,7,0,48,0,10.0,No,1,5,1
"Comfortable bed, excellent location! great value for money!","The guy at the reception was very kind and helpful! 
The room and bathroom were of very good size and clean! 
Our bed was so comfortable! 
We wanted something close to Makenzie as we had plans for the night and this place was just perfect!",,10.0,Cyprus,Double Room,1,2022-08-01,Couple,,59,0,239,0,10.0,No,5,5,1
Wonderful,that your hotel allowed to stay with animals,,9.0,Cyprus,Double Room with Balcony,2,2022-08-01,Solo,,9,0,44,0,9.0,No,1,5,1
Wonderful,"The room was very clean. Using the air conditioner was great after a hot day outside. 
The staff was very nice.","The location of the hotel was a bit far from the city centre, but you can take the 425 bus, which arrives fairly often at the station near the hotel.",9.0,Romania,Double Room with Balcony,4,2022-08-01,Couple,,9,0,111,149,9.0,Yes,1,5,5
"Impeccable service, delicious breakfast, cosy and relaxing experience","The breakfast prepared by Richard was delicious and freshly prepared. As well there are many choices from Cyprus to English breakfast.
 Very friendly and the most helpful host.
Impeccable service, very comfortable bed, pleasant and relaxing staying in Larnaca.",,10.0,Netherlands,Double Room with Balcony,1,2022-08-01,Solo,,69,0,260,0,10.0,No,5,5,1
Clean & comfortable room - great value for money,"We took the suit has we were 2 adults & 3 kids.
the room was clean & the bed were comfortable
if the hotel had swimming pool it would be perfect
the lady in reception (Maria) was VERY helpful
good value for money",no swimming pool,9.0,Israel,Two-Bedroom Suite,1,2022-08-01,Family,,48,0,212,16,9.0,No,5,5,2
Great stay,"La veranda was lovely and clean,great friendly staff and great chef.Brilliant location for beach and bars.",,10.0,United Kingdom,Double Room with Balcony,12,2022-08-01,Couple,,10,0,106,0,10.0,No,1,5,1
Exceptional,"Modern, clean accommodation. Good food and great staff. Richard is a star!",,10.0,United Kingdom,Two-Bedroom Suite,1,2022-08-01,Family,,11,0,74,0,10.0,No,2,5,1
Exceptional,"I did not expect such a beautiful hotel for such a cheap price
Disgusting on the outside but clean and beautiful on the inside",,10.0,Israel,Family Suite with Balcony,1,2022-08-01,Family,,11,0,126,0,10.0,No,2,5,1
Wonderful,"Room was clean and the bed was comfortable 
Friendly staff and great location",The smell in the bathroom,9.0,Romania,Double Room,1,2022-08-01,Couple,,9,0,77,25,9.0,No,1,5,3
Exceptional,"Great localization, very helpful and kind personel, very clean room and bathroom, I recommend this place a lot 
12 stars :)",,10.0,Poland,Double Room,2,2022-08-01,Solo,,11,0,123,0,10.0,No,2,5,1
Good hotel for an early flight,"the proximity to the airport
nice restaurant at the hotel with a external balcony",slow elevators,8.0,Cyprus,Two-Bedroom Suite,1,2022-08-01,Solo,,30,0,81,14,8.0,Yes,3,5,2
Exceptional,"Very clean, comfy bed, close to the airport, easy self check-in, great breakfast.",,10.0,Russia,Double Room,1,2022-08-01,Family,,11,0,81,0,10.0,No,2,5,1
We cannot wait to visit again. loved it.,Everything. It felt like a home from home. Fantastic hotel with wonderful staff. Exceptional,There was nothing not to like. Fabulous place.,10.0,United Kingdom,Two-Bedroom Suite,9,2022-08-01,Family,,40,0,92,46,10.0,No,4,5,5
Very good bargain,very convenient friendly staff near mackenzie beach,nothing,9.0,France,Standard Triple Room,1,2022-08-01,Group,,17,0,51,7,9.0,No,2,5,1
Clean and comfortable stay,perfect overnight stay close to the airport,,10.0,United Kingdom,Two-Bedroom Suite,1,2022-08-01,Group,,26,0,43,0,10.0,No,3,5,1
Wonderful,nice and clean,,9.0,Israel,Suite with Balcony,1,2022-08-01,Family,,9,0,14,0,9.0,No,1,2,1
An amazing stay at a beautiful little gem hotel,"We stayed 9 nights at this beautiful little hotel and it was extraordinary. Close to the airport and also a 5 min walk from Makenzie blue flag beach. The room was super clean, everything new and cosy, the bathroom with a spacious cabin shower. The bed and pillows were very comfy. The staff was super super friendly and made everything possible for our stay to be perfect. Rich breakfast with various local food. Also we ate dinner a couple of times at the terrace and everything was very tasty. We have absolutely nothing to complain, it was a dreamy vacation and for sure we will come back. Thank you for a perfect stay!!!",Everything was perfect!,10.0,Romania,Double Room with Balcony,9,2022-08-01,Couple,,47,0,624,23,10.0,Yes,5,5,3
Very friendly staff,"the staff were so incredibly friendly. such a nice hotel with good rooms , clean, smart and comfortable. But it’s the staff who make this hotel:",Nothing,10.0,United Kingdom,Double Room with Balcony,1,2022-08-01,Couple,,19,0,144,7,10.0,Yes,2,5,1
Exceptional,Amazing staff!,,10.0,United States of America,Standard Triple Room,1,2022-05-01,Family,,11,0,14,0,10.0,No,2,2,1
Nice hotel close to airport,Very close of the airport. Very comfortable bed.,Nothing,10.0,Venezuela,Standard Triple Room,1,2022-06-01,Family,,27,0,48,7,10.0,No,3,5,1
Exceptional,"Great place for a night before a flight. Very friendly staff, let us into room as soon as it was ready. Everything was super clean, modern and comfortable. Great for the price.Arranged airport taxi for 6am too.","Nothing to do with the hotel, just the quick path down to the beachside cafes is a bit treacherous.",10.0,United Kingdom,Double Room with Balcony,1,2022-08-01,Couple,,11,0,210,99,10.0,No,2,5,5
Exceptional,"Everything was new, beautiful and clean.",That there is no kiosk open 24 hours close to the hotel.,10.0,Israel,Double Room,1,2022-08-01,Couple,,11,0,40,56,10.0,No,2,4,5
Exceptional,"Perfect stay. 
Thank you.",,10.0,United Kingdom,Standard Triple Room,1,2022-07-01,Family,,11,0,25,0,10.0,No,2,3,1
Great only they need to take care of the late check in,"Close to the bars near the sea, close to the airport, clean rooms.",We had a late check in and there was no one in the hotel to give us keys and the door was locked. We had to ask the taxi driver to make the call because it was cyprus number.,9.0,Israel,Double Room,1,2022-07-01,Group,"Thank you for your comments. For our guests who need to make late check-in at night, we always send instructions through booking of how to collect the key, apparently you didn’t see the message sent to you through booking. We are sorry for any inconvenience.",54,258,66,174,9.0,No,5,5,5
